quarter,neverincar,everincar,everincar_p,norecentincar,recentincar,recentincar_p,noparole,parole,parole_p
1,,,0.92,,,0.95,,,0.5
2,,,0.95,,,0.95,,,0.84
3,,,0.65,,,0.49,,,0.93
4,,,0.26,,,0.32,,,0.47
