quarter,neverincar,everincar,everincar_p,norecentincar,recentincar,recentincar_p,noparole,parole,parole_p
Quarter 1,79.699997,72.699997,0.26,74.099998,74.400002,0.97,77.300003,67.400002,0.07
Quarter 2,71.900002,64.900002,0.29,66.199997,66.699997,0.95,70.400002,57.299999,0.03
Quarter 3,64.099998,56.200001,0.26,59,51.299999,0.36,62.5,47.200001,0.01
Quarter 4,53.299999,46.700001,0.36,49.599998,38.5,0.19,51.400002,40.5,0.08
