quarter,noreten1q,reten1q,reten1q_p,noreten2q,reten2q,reten2q_p,noreten3q,reten3q,reten3q_p,noreten4q,reten4q,reten4q_p
0,12.7,12.8,0.97,12.6,12.9,0.95,14.8,11.3,0.36,15.2,10.2,0.19
1,5,6.3,0.83,3,6.8,0.41,6.3,6.1,0.96,5.9,6.3,0.92
2,36,12,0.002,28.6,12.1,0.02,29.8,10.2,0.001,25,9.4,0.005
3,26.3,6.1,0.003,17.9,6.5,0.05,12.8,7,0.25,11.9,6.5,0.23
4,24.1,10.5,0.05,23.1,9.8,0.03,25,8.1,0.003,23.1,6.5,0.002
