quarter,norecentincar,recentincar,recentincar_p,noparole,parole,parole_p
0,87,76.9,0.09,88.3,79.6,0.05
1,38.7,66.7,0.22,41.4,35.7,0.59
2,29.9,46.7,0.19,30,37,0.49
3,35.7,50,0.38,34.9,40.9,0.6
4,28.6,40,0.63,25.8,43.8,0.16
