quarter,norecentincar,recentincar,recentincar_p,noparole,parole,parole_p
0,,,0.009,,,0.14
1,,,0.21,,,0.88
2,,,0.32,,,0.63
3,,,0.38,,,0.77
4,,,0.74,,,0.1
