quarter,neverincar,everincar,everincar_p,norecentincar,recentincar,recentincar_p,noparole,parole,parole_p
1,42.9,43,0.99,39.2,40,0.94,41.9,31.4,0.27
2,39.4,37.3,0.83,30.4,30.8,0.98,31.1,30.3,0.93
3,51.4,44.4,0.46,36.5,26.7,0.46,34.9,36,0.92
4,40.5,37.6,0.76,24.4,44.4,0.2,25,30.4,0.61
