quarter,norecentincar,recentincar,recentincar_p,noparole,parole,parole_p
0,,,0.009,,,0.14
1,,,0.08,,,0.36
2,,,0.05,,,0.12
3,,,0.17,,,0.96
4,,,0.22,,,0.04
