quarter,neverincar,everincar,everincar_p,norecentincar,recentincar,recentincar_p,noparole,parole,parole_p
1,,,0.86,,,0.77,,,0.81
2,,,0.82,,,0.8,,,0.43
3,,,0.22,,,0.84,,,0.3
4,,,0.58,,,0.48,,,0.65
