quarter,norecentincar,recentincar,recentincar_p,noparole,parole,parole_p
0,87,76.9,0.09,88.3,79.6,0.05
1,42,72.7,0.05,43.2,46.5,0.7
2,35.8,59.3,0.02,36,48.8,0.14
3,44.4,64.3,0.15,45.5,48.6,0.75
4,43.3,59.1,0.17,41.7,58.8,0.07
