quarter,norecentincar,recentincar,recentincar_p,noparole,parole,parole_p
0,87,76.9,0.09,88.3,79.6,0.05
1,38,70,0.05,40,40.5,0.95
2,28.5,47.1,0.12,29,35.5,0.48
3,35.3,44.4,0.72,36.2,33.3,0.79
4,31,57.4,0.21,28.6,56.3,0.03
