quarter,norecentincar,recentincar,recentincar_p,noparole,parole,parole_p
0,,,0.009,,,0.14
1,,,0.04,,,0.63
2,,,0.17,,,0.55
3,,,0.59,,,0.48
4,,,0.14,,,0.007
