quarter,noreten1q_n,noreten1q,reten1q_n,reten1q,reten1q_p,noreten2q_n,noreten2q,reten2q_n,reten2q,reten2q_p,noreten3q_n,noreten3q,reten3q_n,reten3q,reten3q_p,noreten4q_n,noreten4q,reten4q_n,reten4q,reten4q_p
0,10,12.7,29,12.8,0.97,13,12.6,26,12.9,0.95,19,14.8,20,11.3,0.36,24,15.2,15,10.2,0.19
1,1,6.3,6,4.8,0.8,1,3.6,6,5.3,0.71,1,2.5,6,5.9,0.4,1,1.8,6,7.1,0.16
2,8,40,16,12.3,0.002,9,32.1,15,12.3,0.01,13,32.5,11,10,0.001,15,26.8,9,9.6,0.005
3,5,26.3,7,5.7,0.003,5,17.9,7,6.1,0.05,6,16.2,6,5.7,0.05,7,13,5,5.7,0.13
4,7,28,9,8.7,0.008,7,22.6,9,9.2,0.05,9,25,7,7.5,0.007,11,23.4,5,6.1,0.004
